app_name,data,star,avaliacoes_totais,downloads_totais
Iepê Golf Condomínio,2024-07-15,,0,5
JHI ADMINISTRADORA,2024-07-15,,0,100
Mario Dal Maso Administradora,2024-07-15,,0,500
Estanconfor Administradora,2024-07-15,,0,10
Gosuen Gestão Condominial,2024-07-15,,0,500
Suprema Administradora,2024-07-15,,0,100
Avenue Condomínios,2024-07-15,,0,100
Ícone Gestão Condominial,2024-07-15,"4,4",13,1000
Gescon Winker,2024-07-15,,0,10
Easy Safe Condomínios,2024-07-15,,0,100
Kato Condomínios,2024-07-15,,0,10
Beelive,2024-07-15,,0,50
Focus X Condomínios,2024-07-15,,0,5
Adaplan Condomínios,2024-07-15,,0,5
Clevertown,2024-07-15,,0,10
Lagoa Iate Clube,2024-07-15,,0,5
Dínamo,2024-07-15,,0,100
